Day,Title,Cert Focus,Main Topics,Tools Used,Hours,Cert Exam Objective
Day 81,Cloud Foundations Reset & AWS Core Services,"Cloud Essentials+, Cloud+, AWS Foundations","Cloud models, EC2, S3, IAM, Linux permissions, CI/CD primer","AWS Console, EC2, S3, IAM, Debian Terminal, Obsidian, GitHub",8.0,
Day 82,"Azure Fundamentals: Portal, VM, Storage","Cloud Essentials+, Cloud+, Azure Basics","Azure regions, Azure VM deployment, Blob storage, IAM roles","Azure Portal, Debian Terminal, Obsidian, GitHub",8.0,
Day 83,GCP Overview and Free Tier Lab,"Cloud Essentials+, GCP Basics","GCP compute/storage/IAM, Cloud Shell, gcloud CLI","GCP Console, Cloud Shell, Obsidian, GitHub",8.0,
Day 84,Linux+ Deep Dive: Networking & Services,"Linux+, Cloud+","ip, ifconfig, systemctl, DNS tools, netstat, ufw","Debian Terminal, Wireshark, Obsidian, GitHub",8.0,
Day 85,AWS CLI and EC2 Automation,"Cloud+, AWS CLI","Install AWS CLI, configure profiles, create EC2 via CLI","AWS CLI, Debian Terminal, Obsidian, GitHub",8.0,
Day 86,Azure CLI and VM Lifecycle,"Cloud+, Azure CLI","az CLI, create/list/delete Azure VMs, automate resource groups","Azure CLI, Debian Terminal, Obsidian, GitHub",8.0,
Day 87,GCP gcloud CLI and Instance Setup,"Cloud+, GCP CLI","gcloud init, compute instances, IAM roles via CLI","gcloud CLI, Debian Terminal, Obsidian, GitHub",8.0,
Day 88,Cloud+ Architecture & Design Principles,,"Cloud architecture types, service deployment, elasticity, availability","Obsidian, diagrams.net, GitHub",,CompTIA Cloud+ CV0-003: 1.1 - Compare and contrast the different types of cloud models
Day 89,AWS IAM Advanced: Roles & Federation,,"IAM roles, federated access, MFA, policy writing","AWS Console, IAM, JSON Policy Editor, Obsidian, GitHub",,AWS CCP: Understand the AWS shared responsibility model and IAM concepts
Day 90,Azure AD & Role-Based Access Control (RBAC),,"Azure Active Directory, RBAC, role assignments, permissions","Azure Portal, PowerShell, Obsidian, GitHub",,"AZ-900: Describe identity, governance, privacy, and compliance features"
Day 91,GCP IAM & Service Accounts,,"Service accounts, scopes, IAM binding with gcloud CLI","GCP Console, gcloud CLI, Obsidian, GitHub",,"Google ACE: Set IAM policies at the project, folder, and organization level"
Day 92,"Linux+: Users, Groups, and Permissions",,"useradd, groupmod, sudoers, chown/chmod, ACLs","Debian Terminal, Obsidian, GitHub",,CompTIA Linux+ XK0-005: 1.2 - Manage users and groups
Day 93,"AWS Storage: EBS, S3, Glacier",,"Block vs object storage, S3 lifecycle, EBS snapshots, Glacier vaults","AWS Console, EC2, S3, Obsidian, GitHub",,AWS CCP: Identify AWS storage services and use cases
Day 94,"Azure Storage: Blob, File, Disk",,"Blob tiers, access levels, managed disks, storage account configuration","Azure Portal, Azure CLI, Obsidian, GitHub",,AZ-900: Describe core Azure services including storage
Day 95,"GCP Storage: Buckets, Classes, and Lifecycle",,"Storage classes, object versioning, lifecycle policies","GCP Console, gcloud CLI, Obsidian, GitHub",,Google ACE: Manage GCP storage resources and policies
Day 96,Intro to Docker and Container Concepts,,"Docker installation, images, containers vs VMs","Docker CLI, Debian Terminal, Obsidian, GitHub",,CompTIA Cloud+: 3.2 - Deploy and manage containers using appropriate tools
Day 97,Building Docker Images and Docker Hub,,"Dockerfile creation, image builds, Docker Hub usage","Docker, Docker Hub, Debian Terminal, Obsidian, GitHub",,CompTIA Cloud+: 3.3 - Use appropriate orchestration tools
Day 98,CI/CD Basics with GitHub Actions,,"YAML syntax, GitHub Actions workflows, build/test pipeline","GitHub Actions, VS Code, Obsidian, GitHub",,CompTIA Cloud+: 4.2 - Apply appropriate automation tools
